id_marca,nombre_marca,numero_registro,estado_registro
86,12 E MEZZO PRIMITIVO,LBD.0126392,ACTIVE
87,12 E MEZZO PRIMITIVO ORGANIC,LBD.0139455,ACTIVE
88,12 KNIGHTS OPULENT RED,LBD.0175075,ACTIVE
89,12 OUZO,LBD.0193027,ACTIVE
90,12 POLOTMAVY,LBD.0217437,ACTIVE
91,123 ORGANIC ANEJO (TRES) TEQUILA,LBD.0216440,ACTIVE
92,123 ORGANIC BLANCO (UNO) TEQUILA,LBD.0216438,ACTIVE
93,123 ORGANIC REPOSADO (DOS) TEQUILA,LBD.0216439,ACTIVE
94,12:43 SOUR SERIES BLACKBERRY,LBD.0205771,ACTIVE
95,12:43 SOUR SERIES MIXED BERRY,LBD.0217177,ACTIVE
96,12:43 SOUR SERIES POG,LBD.0224987,ACTIVE
97,12TH ANNIVERSARY HAZY IPA,LBD.0236019,ACTIVE
98,13 CELSIUS - SAUVIGNON BLANC,LBD.0111708,ACTIVE
99,13 CELSIUS PINOT GRIGIO,LBD.0137905,ACTIVE
100,13 RAMS RED WINE LAKE COUNTY,LBD.0191008,ACTIVE
101,13 YEARS CABERNET SAUVIGNON RESERVE SANTA YNEZ VALLEY,LBD.0207690,ACTIVE
102,135° EAST HYOGO DRY GIN,LBD.0168061,ACTIVE
103,13TH COLONY 113,LBD.0223091,ACTIVE
104,13TH COLONY 113 MAPLE FINISHED RYE,LBD.0232116,ACTIVE
105,13TH COLONY BARREL AGED GIN,LBD.0227068,ACTIVE
106,13TH COLONY BARREL SYMPHONY,LBD.0237090,ACTIVE
107,13TH COLONY CASK STRENGTH SOUTHERN BOURBON WHISKEY,LBD.0214415,ACTIVE
108,13TH COLONY CASK STRENGTH SOUTHERN RYE WHISKEY,LBD.0228099,ACTIVE
109,13TH COLONY DOUBLE OAKED BOURBON WHISKEY,LBD.0218751,ACTIVE
110,13TH COLONY SINGLE BARREL BOURBON,LBD.0215844,ACTIVE
111,13TH COLONY SINGLE BARREL RYE WHISKEY,LBD.0215758,ACTIVE
112,13TH COLONY SOUTHERN BOURBON WHISKEY,LBD.0212194,ACTIVE
113,13TH COLONY SOUTHERN GIN,LBD.0212193,ACTIVE
114,13TH COLONY SOUTHERN RYE WHISKEY,LBD.0212195,ACTIVE
115,13TH COLONY SOUTHERN VODKA,LBD.0212196,ACTIVE
116,13TH VINEYARD CABERNET SAUVIGNON HOWELL MOUNTAIN RESERVE 0329 15.60%,LBD.0198582,ACTIVE
117,13TH VINEYARD RESERVE CABERNET SAUVIGNON HOWELL MOUNTAIN RESERVE 15.50%,LBD.0224569,ACTIVE
118,13TH VINEYARD RESERVE CABERNET SAUVIGNON HOWELL MOUNTAIN RESERVE 15.80%,LBD.0224570,ACTIVE
119,14 HANDS CABERNET SAUVIGNON COLUMBIA VALLEY KEY,LBD.0042775,ACTIVE
120,"14 HANDS CHARDONNAY, BUTTERY 2022",LBD.0209570,ACTIVE
121,"14 HANDS MALBEC, THE RESERVE 2022",LBD.0216222,ACTIVE
122,14 HANDS MERLOT COLUMBIA VALLEY,LBD.0042777,ACTIVE
